uniek_id,gml_id,gml_parent_id,gml_parent_property,geometrie,gid,identificatie,oppervlakte,status,gebruiksdoel,openbare_ruimte,huisnummer,huisletter,toevoeging,postcode,woonplaats,bouwjaar,pandidentificatie,pandstatus,rdf_seealso,fme_geometry,gml_pointProperty,gml_multiPointProperty,fme_geometry_0_,fme_geometry_1_,fme_geometry_2_,Straat,Huisnummer,Postcode
prinses margrietstraat69 e ,verblijfsobject.bag:0344010000082202,,member,,6583785,0344010000082202,94,Verblijfsobject in gebruik,woonfunctie,Prinses Margrietstraat,69,E,,3554GB,Utrecht,1999,0344100000060977,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082202,fme_point,,,,,,Prinses Margrietstraat,69 E,3554 GB
prinses margrietstraat71 c ,verblijfsobject.bag:0344010000082207,,member,,6583790,0344010000082207,94,Verblijfsobject in gebruik,woonfunctie,Prinses Margrietstraat,71,C,,3554GB,Utrecht,1999,0344100000007826,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082207,fme_point,,,,,,Prinses Margrietstraat,71 C,3554 GB
houtrakgracht162  ,verblijfsobject.bag:0344010000083229,,member,,6583826,0344010000083229,73,Verblijfsobject in gebruik,woonfunctie,Houtrakgracht,162,,,3544SL,Utrecht,1999,0344100000033479,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083229,fme_point,,,,,,Houtrakgracht,162,3544 SL
tweede oosterparklaan215  ,verblijfsobject.bag:0344010000081813,,member,,6583986,0344010000081813,121,Verblijfsobject in gebruik,woonfunctie,Tweede Oosterparklaan,215,,,3544AR,Utrecht,2000,0344100000075663,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000081813,fme_point,,,,,,Tweede Oosterparklaan,215,3544 AR
klifrakplantsoen53  ,verblijfsobject.bag:0344010000081837,,member,,6584006,0344010000081837,134,Verblijfsobject in gebruik,woonfunctie,Klifrakplantsoen,53,,,3544RG,Utrecht,2000,0344100000055219,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000081837,fme_point,,,,,,Klifrakplantsoen,53,3544 RG
birstumerraklaan21  ,verblijfsobject.bag:0344010000082026,,member,,6584037,0344010000082026,128,Verblijfsobject in gebruik,woonfunctie,Birstumerraklaan,21,,,3544TB,Utrecht,2000,0344100000056144,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000082026,fme_point,,,,,,Birstumerraklaan,21,3544 TB
vechtoever81  ,verblijfsobject.bag:0344010000083579,,member,,6584089,0344010000083579,125,Verblijfsobject in gebruik,woonfunctie,Vechtoever,81,,,3555SZ,Utrecht,1998,0344100000076723,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083579,fme_point,,,,,,Vechtoever,81,3555 SZ
lange nieuwstraat25 g ,verblijfsobject.bag:0344010000083740,,member,,6584092,0344010000083740,56,Verblijfsobject in gebruik,woonfunctie,Lange Nieuwstraat,25,G,,3512PB,Utrecht,1900,0344100000009066,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000083740,fme_point,,,,,,Lange Nieuwstraat,25 G,3512 PB
adriaan menninckkwartier56  ,verblijfsobject.bag:0344010000087878,,member,,6584237,0344010000087878,118,Verblijfsobject in gebruik,woonfunctie,Adriaan Menninckkwartier,56,,,3554CT,Utrecht,1998,0344100000010286,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087878,fme_point,,,,,,Adriaan Menninckkwartier,56,3554 CT
adriaan menninckkwartier62  ,verblijfsobject.bag:0344010000087882,,member,,6584243,0344010000087882,108,Verblijfsobject in gebruik,woonfunctie,Adriaan Menninckkwartier,62,,,3554CT,Utrecht,1998,0344100000040383,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087882,fme_point,,,,,,Adriaan Menninckkwartier,62,3554 CT
adriaan menninckkwartier64  ,verblijfsobject.bag:0344010000087884,,member,,6584245,0344010000087884,116,Verblijfsobject in gebruik,woonfunctie,Adriaan Menninckkwartier,64,,,3554CT,Utrecht,1998,0344100000014281,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087884,fme_point,,,,,,Adriaan Menninckkwartier,64,3554 CT
adriaan menninckkwartier73  ,verblijfsobject.bag:0344010000087892,,member,,6584254,0344010000087892,108,Verblijfsobject in gebruik,woonfunctie,Adriaan Menninckkwartier,73,,,3554CS,Utrecht,1998,0344100000019736,Pand in gebruik,http://bag.basisregistraties.overheid.nl/bag/id/verblijfsobject/0344010000087892,fme_point,,,,,,Adriaan Menninckkwartier,73,3554 CS
