"title","price","sold_at_date"
"Verkocht: Edmund Eyslerstraat 40 3543 JS Utrecht [funda]","629000","14 mei 2020"
"Verkocht: Dantelaan 69 3533 VB Utrecht [funda]","589000","11 juni 2020"
"Verkocht: Bolksbeekstraat 38 3521 CT Utrecht [funda]","569000","23 juni 2020"
"Verkocht: Rhijnvis Feithstraat 20 3532 GP Utrecht [funda]","325000","20 mei 2020"
"Verkocht: Kruisweg 53 3513 CS Utrecht [funda]","300000","29 mei 2020"
"Verkocht: Enthofstraat 5 3513 GR Utrecht [funda]","285000","26 juni 2020"
"Verkocht: Agaatvlindersingel 93 3544 ZB Utrecht [funda]","385000","22 april 2020"
"Verkocht: Azaleastraat 18 bis 3551 AX Utrecht [funda]","275000","29 april 2020"
"Verkocht: Van Diemenstraat 14 3531 GH Utrecht [funda]","239000","30 mei 2020"
"Verkocht: Gildstraat 86 3572 ER Utrecht [funda]","260000","27 mei 2020"
"Verkocht: Nieuwegracht 50 A 3512 LT Utrecht [funda]","400000","15 mei 2020"
"Verkocht: Knopstraat 41 3551 ES Utrecht [funda]","375000","25 mei 2020"
"Verkocht: Cremerstraat 56 3532 BG Utrecht [funda]","350000","22 juni 2020"
"Verkocht: Minister Talmastraat 25 3555 GA Utrecht [funda]","299000","17 april 2020"
"Verkocht: Leliestraat 15 3551 AR Utrecht [funda]","350000","16 juni 2020"
"Verkocht: Esdoornstraat 5 I 3551 AG Utrecht [funda]","275000","14 mei 2020"
"Verkocht: Boekelaan 26 3571 XD Utrecht [funda]","500000","24 juni 2020"
"Verkocht: Van Lennepstraat 2 H 3532 TN Utrecht [funda]","575000","20 april 2020"
"Verkocht: Huis ten Boschlaan 9 2 3523 HN Utrecht [funda]","250000","19 mei 2020"
"Verkocht: Seringstraat 35 3551 TJ Utrecht [funda]","325000","25 juni 2020"
"Verkocht: Linnaeusstraat 54 Bis 3553 CG Utrecht [funda]","275000","26 juni 2020"
"Verkocht: Torreslaan 13 3526 EZ Utrecht [funda]","298000","15 mei 2020"
"Verkocht: Van der Mondestraat 161 bis 3515 BG Utrecht [funda]","350000","22 mei 2020"
"Verkocht: Pizarrolaan 9 3526 TX Utrecht [funda]","310000","13 mei 2020"
"Verkocht: Van der Helststraat 22 3583 AV Utrecht [funda]","400000","18 juni 2020"
"Verkocht: Singelstraat 24 3513 BP Utrecht [funda]","309000","25 juni 2020"
"Verkocht: Kees van Bohemenhof 34 3544 MC Utrecht [funda]","539000",""
"Verkocht: Prins Hendriklaan 55 3583 EE Utrecht [funda]","1150000","17 april 2020"
"Verkocht: Harpstraat 34 3513 XC Utrecht [funda]","320000","18 mei 2020"
"Verkocht: Burgemeester Norbruislaan 340 3555 EN Utrecht [funda]","235000","14 mei 2020"
"Verkocht: Van Esveldstraat 229 3572 KM Utrecht [funda]","350000","20 mei 2020"
