"title","price","sold_at_date"
"Verkocht: Joos Banckersplantsoen 122 1056 LD Amsterdam [funda]","525000","20 mei 2020"
"Verkocht: Douwes Dekkerstraat 24 2 1053 SX Amsterdam [funda]","689500",""
"Verkocht: Anton Verheijstraat 1 III 1077 KS Amsterdam [funda]","680000","27 mei 2020"
"Verkocht: Plantage Parklaan 30 huis 1018 SW Amsterdam [funda]","575000","22 juni 2020"
"Verkocht: Wijnand Nuijenstraat 132 1061 WB Amsterdam [funda]","399500","10 juni 2020"
"Verkocht: Govert Flinckstraat 126 H 1072 EM Amsterdam [funda]","795000","23 mei 2020"
"Verkocht: Woestduinstraat 142 -3 1059 SZ Amsterdam [funda]","365000","26 juni 2020"
"Verkocht: Bos en Lommerweg 24 H 1055 EB Amsterdam [funda]","295000","15 mei 2020"
"Verkocht: President Brandstraat 53 1091 ZE Amsterdam [funda]","599000","26 juni 2020"
"Verkocht: Rustenburgerstraat 144 A10 1073 GJ Amsterdam [funda]","399000","16 mei 2020"
"Verkocht: Liedekerkeplantsoen 58 1066 WP Amsterdam [funda]","475000","19 juni 2020"
"Verkocht: Johan Hofmanstraat 88 1069 KE Amsterdam [funda]","475000","24 juni 2020"
"Verkocht: Elpermeer 118 1025 AL Amsterdam [funda]","250000","20 mei 2020"
"Verkocht: Fred. Roeskestraat 92 b10 1076 ED Amsterdam [funda]","775000","29 mei 2020"
"Verkocht: Assumburg 102 1081 GC Amsterdam [funda]","500000","26 juni 2020"
"Verkocht: Eerste Oosterparkstraat 133 D 1091 GZ Amsterdam [funda]","350000","12 april 2020"
"Verkocht: Eerste Keucheniusstraat 26 H 1051 HS Amsterdam [funda]","500000","28 mei 2020"
"Verkocht: Suikerpeerpad 16 1036 KE Amsterdam [funda]","489000","20 mei 2020"
"Verkocht: Mr. P.N. Arntzeniusweg 16 III 1098 GP Amsterdam [funda]","690000","15 februari 2020"
"Verkocht: Baarsstraat 6 -II 1075 RW Amsterdam [funda]","425000","13 mei 2020"
"Verkocht: Kortrijk 16 1066 TC Amsterdam [funda]","600000","19 mei 2020"
"Verkocht: Poeldijkstraat 321 1059 VL Amsterdam [funda]","775000","29 mei 2020"
