"title","price","sold_at_date"
"Verkocht: Maarten Dijkshoornlaan 15 3055 AS Rotterdam [funda]","1150000","27 mei 2020"
"Verkocht: Willem Sch�rmannstraat 13 b 3031 RM Rotterdam [funda]","275000","10 juni 2020"
"Verkocht: De Graeffstraat 11 a 3039 XB Rotterdam [funda]","430000","22 juni 2020"
"Verkocht: Hendrik Sweijsstraat 69 3065 NJ Rotterdam [funda]","635000","17 juni 2020"
"Verkocht: Mathenesserlaan 215 A 3021 HA Rotterdam [funda]","735000","29 april 2020"
"Verkocht: Mathenesserlaan 426 A 3023 HE Rotterdam [funda]","665000","30 april 2020"
"Verkocht: Bijlwerffstraat 6 A2 3039 VG Rotterdam [funda]","275000","22 juni 2020"
"Verkocht: Landverhuizersplein 113 3072 MH Rotterdam [funda]","1490000","22 juni 2020"
"Verkocht: Goudestein 162 3085 DD Rotterdam [funda]","160000","17 april 2020"
"Verkocht: Breedveldsingel 36 3055 PK Rotterdam [funda]","648000","17 mei 2020"
"Verkocht: Moerkapellestraat 19 3036 PW Rotterdam [funda]","795000","26 mei 2020"
"Verkocht: Schubertlaan 15 3055 HL Rotterdam [funda]","235000","17 juni 2020"
"Verkocht: Goudsesingel 638 3011 KT Rotterdam [funda]","275000","17 juni 2020"
"Verkocht: Texelsestraat 10 A 3083 PW Rotterdam [funda]","160000","16 april 2020"
"Verkocht: Paradijslaan 117 B 3034 SJ Rotterdam [funda]","415000","19 mei 2020"
"Verkocht: Louise de Colignylaan 39 3062 HC Rotterdam [funda]","369000","11 juni 2020"
"Verkocht: Carel van Nieveltstraat 23 b 3031 RB Rotterdam [funda]","259000","27 juni 2020"
"Verkocht: Kruisplein 434 3012 CC Rotterdam [funda]","425000","21 maart 2020"
"Verkocht: Zwart Janstraat 114 a 3035 AX Rotterdam [funda]","450000","23 juni 2020"
"Verkocht: Rhodoshof 14 3059 XM Rotterdam [funda]","450000","27 april 2020"
"Verkocht: Schollevaartse Dreef 105 3068 KK Rotterdam [funda]","175000","18 mei 2020"
"Verkocht: Texelsestraat 83 A 3083 PT Rotterdam [funda]","185000",""
"Verkocht: Naardermeer 242 3068 KH Rotterdam [funda]","450000","14 mei 2020"
"Verkocht: Goereesestraat 40 C 3083 DJ Rotterdam [funda]","180000","28 februari 2020"
"Verkocht: Charlie Parkersingel 37 3069 XR Rotterdam [funda]","275000","17 april 2020"
"Verkocht: Bergsingel 13 d 3037 GA Rotterdam [funda]","375000","18 mei 2020"
"Verkocht: Paul van Ostaijenstraat 22 3069 JW Rotterdam [funda]","295000","29 mei 2020"
"Verkocht: Rochussenstraat 311 A 3023 DG Rotterdam [funda]","289000","20 mei 2020"
"Verkocht: Lijsterbeslaan 6 3053 NK Rotterdam [funda]","500000","19 juni 2020"
"Verkocht: Doezastraat 2 a1 3039 ZE Rotterdam [funda]","425000",""
"Verkocht: Lamastraat 54 3064 LL Rotterdam [funda]","195000","25 mei 2020"
"Verkocht: Endeldijk 101 3079 VB Rotterdam [funda]","225000",""
"Verkocht: Mathenesserlaan 334 3021 HZ Rotterdam [funda]","1195000","23 juni 2020"
"Verkocht: Rozenburglaan 112 -A 3062 EJ Rotterdam [funda]","695000","13 mei 2020"
"Verkocht: Rietkerkweg 364 3066 VL Rotterdam [funda]","265000","22 mei 2020"
"Verkocht: Noordsingel 104 3032 BH Rotterdam [funda]","525000","22 juni 2020"
"Verkocht: Bergselaan 81 B 3037 BB Rotterdam [funda]","485000","23 juni 2020"
"Verkocht: Azaleastraat 11 B 3051 TB Rotterdam [funda]","250000","28 mei 2020"
"Verkocht: Bastaardklaver 14 3069 DM Rotterdam [funda]","350000","30 mei 2020"
"Verkocht: Willem van der Kulkstraat 1 3059 TM Rotterdam [funda]","650000","11 mei 2020"
"Verkocht: Hordijk 17 3079 DD Rotterdam [funda]","549000","23 april 2020"
"Verkocht: Boezemsingel 19 3034 EB Rotterdam [funda]","600000","18 juni 2020"
"Verkocht: Specerijenhof 52 3063 BX Rotterdam [funda]","650000","11 mei 2020"
"Verkocht: Albert Schweitzerplaats 433 3069 GK Rotterdam [funda]","219000","16 juni 2020"
"Verkocht: Schepenstraat 94 b2 3039 NN Rotterdam [funda]","375000","26 mei 2020"
"Verkocht: Piet van de Polsingel 110 3056 AK Rotterdam [funda]","375000",""
"Verkocht: Stekelbrem 2 3068 TC Rotterdam [funda]","350000","17 april 2020"
"Verkocht: Schiedamseweg Beneden 481 B 3028 BN Rotterdam [funda]","160000","10 april 2020"
"Verkocht: Kerstant van den Bergelaan 76 A 3054 EV Rotterdam [funda]","450000","22 mei 2020"
"Verkocht: De Quackstraat 54 C 3082 VV Rotterdam [funda]","159000","13 februari 2020"
"Verkocht: Koningswaard 115 3078 AA Rotterdam [funda]","195000","18 mei 2020"
"Verkocht: Arie de Zeeuwstraat 45 3065 PA Rotterdam [funda]","495000","20 mei 2020"
"Verkocht: Zuster Hennekeplein 28 3033 BW Rotterdam [funda]","325000","24 april 2020"
"Verkocht: Stationssingel 41 d 3033 HB Rotterdam [funda]","260000","15 mei 2020"
"Verkocht: Oudedijkse Schiekade 71 3043 LA Rotterdam [funda]","379000","16 juni 2020"
"Verkocht: Paltroklaan 103 3052 HJ Rotterdam [funda]","185000","13 mei 2020"
"Verkocht: Vlinderstraat 18 3061 VM Rotterdam [funda]","575000","18 juni 2020"
"Verkocht: Ahornlaan 5 3053 WL Rotterdam [funda]","225000","15 mei 2020"
"Verkocht: Palestinastraat 92 3061 HP Rotterdam [funda]","675000","31 mei 2020"
"Verkocht: Ellemare 63 3085 JN Rotterdam [funda]","159000","18 april 2020"
"Verkocht: Bierstraat 161 3011 XA Rotterdam [funda]","339000","28 mei 2020"
"Verkocht: Leppedijk 21 3079 GL Rotterdam [funda]","220000","10 maart 2020"
"Verkocht: Bredenoord 63 3079 JB Rotterdam [funda]","175000","29 mei 2020"
"Verkocht: Turfweg 10 3065 AK Rotterdam [funda]","555000",""
"Verkocht: 2e Virulystraat 1 B 3022 ZM Rotterdam [funda]","425000",""
"Verkocht: Turfweg 8 3065 AK Rotterdam [funda]","555000",""
"Verkocht: Prins Hendriklaan 33 b 3071 LC Rotterdam [funda]","287000","22 juni 2020"
"Verkocht: Adriaan Dortsmanstraat 169 3067 NC Rotterdam [funda]","199500","19 mei 2020"
"Verkocht: Wijnbrugstraat 326 3011 XW Rotterdam [funda]","399000","28 mei 2020"
"Verkocht: Dorpsweg 75 B 3082 LD Rotterdam [funda]","135000","30 april 2020"
"Verkocht: Bergse Achterplas 2410 3054 AA Rotterdam [funda]","799000","26 juni 2020"
"Verkocht: Gordelweg 72 C 3037 AJ Rotterdam [funda]","290000","23 juni 2020"
"Verkocht: Wilgenlei 45 3052 CB Rotterdam [funda]","609500","20 mei 2020"
"Verkocht: Koningswaard 149 3078 AA Rotterdam [funda]","224500",""
"Verkocht: Kortgenestraat 53 3086 JD Rotterdam [funda]","139995","13 mei 2020"
"Verkocht: Kortgenestraat 53 3086 JD Rotterdam [funda]","139995","13 mei 2020"
"Verkocht: Hontenissestraat 12 3086 KE Rotterdam [funda]","215000","18 maart 2020"
"Verkocht: Nat King Colesingel 19 3069 XH Rotterdam [funda]","250000","30 juni 2020"
"Verkocht: 's-Gravendijkwal 139 BI 3021 EL Rotterdam [funda]","275000","20 mei 2020"
"Verkocht: Krabbendijkestraat 13 3086 LN Rotterdam [funda]","150000","30 juni 2020"
"Verkocht: Oostmaaslaan 225 E 3063 AV Rotterdam [funda]","235000","20 mei 2020"
"Verkocht: Breedveldsingel 51 3055 PJ Rotterdam [funda]","750000","22 mei 2020"
"Verkocht: Loods Bali 17 3024 WE Rotterdam [funda]","597500","18 juni 2020"
"Verkocht: Dalenoord 58 3079 ZC Rotterdam [funda]","239000","28 april 2020"
"Verkocht: Katendrechtsestraat 326 3072 NX Rotterdam [funda]","310000","19 mei 2020"
"Verkocht: Meester Marrestraat 42 3032 SV Rotterdam [funda]","250000","25 april 2020"
"Verkocht: Schiehavenkade 230 3024 EZ Rotterdam [funda]","485000","13 mei 2020"
"Verkocht: Jan Sonj�straat 23 B 3021 TV Rotterdam [funda]","425000","29 april 2020"
"Verkocht: Schalkeroord 137 3079 WD Rotterdam [funda]","179900","15 mei 2020"
"Verkocht: Noorderhavenkade 62 B 3038 XL Rotterdam [funda]","225000","26 mei 2020"
"Verkocht: Mathenesserlaan 457 3023 GJ Rotterdam [funda]","998000","15 mei 2020"
"Verkocht: Stellendamstraat 19 3086 ZC Rotterdam [funda]","295000","18 maart 2020"
"Verkocht: Oranjeboomstraat 234 A 3071 BL Rotterdam [funda]","170000","15 mei 2020"
"Verkocht: Heidekruid 72 3068 RW Rotterdam [funda]","299000","24 april 2020"
"Verkocht: Mathenesserlaan 403 A 3023 GG Rotterdam [funda]","700000","14 mei 2020"
"Verkocht: Boompjes 473 3011 XZ Rotterdam [funda]","250000","24 juni 2020"
"Verkocht: Karel Doormanstraat 291 b 3012 GH Rotterdam [funda]","325000","18 april 2020"
"Verkocht: Bergse Linker Rottekade 26 3056 LA Rotterdam [funda]","1195000",""
"Verkocht: Van der Meydestraat 20 A 3039 TH Rotterdam [funda]","375000","26 juni 2020"
"Verkocht: Bergsingel 78 A 3037 GJ Rotterdam [funda]","465000","15 mei 2020"
"Verkocht: Burgemeester Meineszlaan 21 A 3022 BA Rotterdam [funda]","625000","26 juni 2020"
"Verkocht: Adriaan Dortsmanstraat 189 3067 NC Rotterdam [funda]","200000","26 juni 2020"
"Verkocht: Tornadostraat 5 a 3077 CT Rotterdam [funda]","275000","25 mei 2020"
"Verkocht: Laan op Zuid 1305 3072 DB Rotterdam [funda]","550000",""
"Verkocht: De Lugt 19 c 3043 CJ Rotterdam [funda]","450000",""
"Verkocht: Zanglijsterstraat 37 3084 NT Rotterdam [funda]","200000","15 mei 2020"
"Verkocht: Schieweg 159 C 3038 AP Rotterdam [funda]","275000","29 juni 2020"
"Verkocht: Mathenesserweg 139 C2 3027 HN Rotterdam [funda]","280000","20 mei 2020"
"Verkocht: Prinsenlaan 546 3066 KE Rotterdam [funda]","295000","27 mei 2020"
"Verkocht: H.A. Maaskantstraat 18 3071 MJ Rotterdam [funda]","389000","16 mei 2020"
"Verkocht: Kralingseweg 13 c 3062 HB Rotterdam [funda]","325000","29 april 2020"
"Verkocht: Statensingel 100 c 3039 LS Rotterdam [funda]","430000","21 april 2020"
"Verkocht: Boompjes 649 3011 XZ Rotterdam [funda]","347500","18 mei 2020"
"Verkocht: Putselaan 44 C 3074 JB Rotterdam [funda]","249500","31 mei 2020"
"Verkocht: CasaNova (Bouwnr. 202) 3011 WK Rotterdam [funda]","740000","15 april 2020"
"Verkocht: Bickerstraat 14 A 3039 XA Rotterdam [funda]","325000","20 mei 2020"
"Verkocht: Grotemarkt 26 3011 PA Rotterdam [funda]","550000",""
"Verkocht: Noorderhavenkade 65 c2 3039 RJ Rotterdam [funda]","259000","27 maart 2020"
"Verkocht: Peppelweg 80 b 3053 GP Rotterdam [funda]","195000","12 maart 2020"
"Verkocht: Lisztlaan 47 3055 KG Rotterdam [funda]","250000","26 juni 2020"
"Verkocht: Scherpenhoek 37 3085 EH Rotterdam [funda]","225000","26 mei 2020"
"Verkocht: Molenlaan 156 3055 GH Rotterdam [funda]","825000","27 maart 2020"
"Verkocht: Spankerstraat 15 3077 ZD Rotterdam [funda]","289500",""
"Verkocht: Noorderhavenkade 94 C3 3038 XP Rotterdam [funda]","255000","18 april 2020"
"Verkocht: Argonautenweg 25 a 3054 RP Rotterdam [funda]","365000","11 maart 2020"
"Verkocht: Erasmussingel 74 a 3051 KJ Rotterdam [funda]","375000","25 juni 2020"
"Verkocht: Rozenburglaan 32 3062 ED Rotterdam [funda]","1495000","14 juni 2020"
"Verkocht: Pieter de Raadtstraat 4 b 3033 VE Rotterdam [funda]","425000","12 mei 2020"
"Verkocht: Curieplaats 351 3069 HJ Rotterdam [funda]","200000","24 juni 2020"
"Verkocht: Rietdijk 19 3082 DS Rotterdam [funda]","195000","17 juni 2020"
"Verkocht: Zwaerdecroonstraat 10 A 3021 WS Rotterdam [funda]","465000","29 mei 2020"
"Verkocht: Adriaen van der Doeslaan 239 3054 EC Rotterdam [funda]","325000","26 juni 2020"
"Verkocht: Witte de Withstraat 1 b 3012 BK Rotterdam [funda]","300000","17 juni 2020"
"Verkocht: Laan van Oud-Kralingen 11 3066 HA Rotterdam [funda]","525000","15 maart 2020"
"Verkocht: Struisenburgstraat 20 C 3063 BR Rotterdam [funda]","400000","27 mei 2020"
"Verkocht: Willem Hioolenstraat 40 3065 LE Rotterdam [funda]","550000","24 april 2020"
"Verkocht: Klaprooslaan 34 3053 DN Rotterdam [funda]","375000","29 juni 2020"
"Verkocht: De Lairesselaan 159 3062 PH Rotterdam [funda]","325000","19 mei 2020"
"Verkocht: Boompjes 320 3011 XZ Rotterdam [funda]","225000","22 mei 2020"
"Verkocht: Beijerlandselaan 8 D 3074 EJ Rotterdam [funda]","282500","18 april 2020"
"Verkocht: Buttervlietstraat 21 3042 GK Rotterdam [funda]","185000","20 mei 2020"
"Verkocht: Stuart Millstraat 7 3076 RL Rotterdam [funda]","175000","15 mei 2020"
"Verkocht: Kalverhagen 14 3078 BC Rotterdam [funda]","210000",""
"Verkocht: Cornelis Bloemaertsingel 37 3067 NH Rotterdam [funda]","225000","30 mei 2020"
"Verkocht: Kralingseweg 9 a 3062 HB Rotterdam [funda]","400000",""
"Verkocht: Soetendaalseweg 85 B 3036 EM Rotterdam [funda]","250000",""
"Verkocht: Buitenbassinweg 749 3063 TM Rotterdam [funda]","300000",""
"Verkocht: Schieweg 189 A01 3038 AS Rotterdam [funda]","225000","29 juni 2020"
"Verkocht: Kurt Weillstraat 89 3069 ML Rotterdam [funda]","250000","30 april 2019"
"Verkocht: Jan Hudigstraat 23 3065 SN Rotterdam [funda]","419000","29 mei 2020"
"Verkocht: Avenue Concordia 52 C 3062 LK Rotterdam [funda]","275000","26 juni 2020"
"Verkocht: Hordijk 176 3079 DK Rotterdam [funda]","259500","23 april 2020"
"Verkocht: Zwarte Paardenstraat 74 3012 VL Rotterdam [funda]","285000","17 juni 2020"
"Verkocht: Tjaskerlaan 41 3052 HM Rotterdam [funda]","525000","19 mei 2020"
"Verkocht: Lisbloemstraat 5 B 3051 TM Rotterdam [funda]","263500","16 mei 2020"
